Unnamed: 0,time,event_type,side,is_goal,location,bodypart
6453,49,3,2,0,,
6454,50,1,1,0,3.0,3.0
6480,66,2,2,0,,
6481,66,1,2,0,3.0,3.0
6489,71,3,2,0,,
6490,73,1,2,0,3.0,3.0
6495,75,3,2,0,,
6496,76,1,1,0,10.0,3.0
6498,82,1,2,0,8.0,3.0
6530,28,3,1,0,,
6531,28,1,2,0,3.0,3.0
6553,53,3,2,0,,
6555,56,1,2,0,3.0,3.0
6624,4,2,1,0,,
6625,4,1,1,0,10.0,3.0
6642,31,3,1,0,,
6644,35,1,2,1,3.0,3.0
6678,63,3,1,0,,
6681,65,1,2,1,10.0,3.0
6697,75,2,1,0,,
6698,76,1,1,0,3.0,3.0
6726,3,2,1,0,,
6727,3,1,1,0,3.0,3.0
6731,9,3,2,0,,
6732,10,1,1,0,3.0,3.0
6743,21,2,2,0,,
6744,22,1,2,0,3.0,3.0
6755,30,2,2,0,,
6756,30,1,2,0,3.0,3.0
6828,3,2,2,0,,
6830,4,1,2,0,3.0,3.0
6872,44,2,2,0,,
6874,45,1,2,0,3.0,3.0
6928,10,3,1,0,,
6931,12,1,1,0,3.0,3.0
6943,23,3,2,0,,
6944,24,1,1,0,3.0,3.0
6945,24,2,1,0,,
6946,24,1,1,0,13.0,3.0
7011,82,3,1,0,,
7013,84,1,2,0,3.0,3.0
7028,14,1,2,1,11.0,1.0
7029,16,1,1,0,3.0,3.0
7040,22,1,1,0,15.0,2.0
7041,23,1,1,0,3.0,3.0
7048,30,3,2,0,,
7052,33,1,1,0,12.0,3.0
7054,36,3,2,0,,
7056,36,1,1,0,3.0,3.0
7077,57,2,1,0,,
7078,57,1,1,1,3.0,3.0
7079,59,1,1,0,3.0,3.0
7080,59,2,1,0,,
7081,59,1,1,0,3.0,3.0
7125,6,1,2,0,15.0,1.0
7126,8,1,1,0,3.0,3.0
7131,14,2,1,0,,
7132,15,1,1,0,3.0,3.0
7136,17,3,2,0,,
7137,18,1,1,0,3.0,3.0
7182,57,1,1,0,15.0,2.0
7185,58,1,1,0,3.0,3.0
7193,63,1,1,0,15.0,2.0
7194,63,1,1,0,3.0,3.0
7210,81,3,1,0,,
7215,81,1,2,0,3.0,3.0
